Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2019-08-05,222.5023178606,222.1758346584,223.5262997082,217.5653394229
ETH,2019-08-06,233.0314055504,222.521763569,236.5009297095,222.0768085993
ETH,2019-08-07,224.5440762664,233.0398843787,239.2475789687,222.8415379444
ETH,2019-08-08,225.684468426,224.5519475244,230.9854118357,220.9042766092
ETH,2019-08-09,219.2096428405,225.6607662241,226.6140001779,215.2458280325
ETH,2019-08-10,209.1745627817,220.9738875596,221.4198018133,206.5950704656
ETH,2019-08-11,205.9151551672,209.1752908943,214.3848177007,201.6468837161
ETH,2019-08-12,214.8954808413,206.0072575842,216.119511085,205.6597807069
ETH,2019-08-13,211.3484238007,214.892588854,216.6276583554,209.5413326288
ETH,2019-08-14,206.996167465,211.3496170933,211.3618795117,203.4689061941
ETH,2019-08-15,189.6876230143,208.7236345427,208.9678049247,181.9398752579
ETH,2019-08-16,187.9278393382,189.6936324652,189.9109917715,180.0358101033
ETH,2019-08-17,185.9325032642,188.1461934795,188.1461934795,178.3066535946
ETH,2019-08-18,186.3736191253,185.949495458,186.5727489796,182.2122054118
ETH,2019-08-19,194.7744371187,185.6367732806,197.9024857431,183.3606365382
ETH,2019-08-20,200.6583914004,194.7750046647,202.8551121265,193.0932168344
ETH,2019-08-21,198.1378701693,200.658598581,203.530310613,194.9857252192
ETH,2019-08-22,184.8960217518,198.1406677926,198.2963583724,180.5554796135
ETH,2019-08-23,193.7319852095,184.8933108786,195.0971625491,182.8136615152
ETH,2019-08-24,193.9669058738,190.6748552597,196.3663187793,188.6423054654
ETH,2019-08-25,190.7985040094,194.0346256867,194.2765906992,186.2781651522
ETH,2019-08-26,186.1119314503,190.8039604467,192.5964582125,183.1354369181
ETH,2019-08-27,188.0709594489,186.8025597743,194.0876921793,185.8345895415
ETH,2019-08-28,185.7509882627,188.0587573976,189.1812179692,184.745081817
ETH,2019-08-29,174.059016341,187.1406593952,188.0544013219,166.3943473871
ETH,2019-08-30,168.9614619692,174.0616853228,174.0883113206,163.9105753218
ETH,2019-08-31,168.6898906234,168.9515701676,170.3022488962,165.7575073259
ETH,2019-09-01,172.8455753702,168.5187352739,174.9729731023,166.0265663214
ETH,2019-09-02,172.0143992107,172.826160257,173.5498796462,168.1103539739
ETH,2019-09-03,178.4059546602,172.021334776,181.0235304621,170.5520436806
ETH,2019-09-04,180.3972338053,178.601201595,183.0464879759,175.1707108407
ETH,2019-09-05,174.3697252053,180.3998343684,180.703478003,173.4475722367
ETH,2019-09-06,174.9847094505,174.3779947508,175.5946977666,169.7753623021
ETH,2019-09-07,169.1709224623,174.998372023,178.328507888,165.4529089527
ETH,2019-09-08,178.645235159,169.1518812618,181.02045326,168.7406680728
ETH,2019-09-09,181.4454540023,178.2157072561,184.288189458,177.1594462707
ETH,2019-09-10,182.2717700833,181.4413664128,185.454033352,176.2742855079
ETH,2019-09-11,179.4033828685,182.2687223568,184.5444279023,176.9742999851
ETH,2019-09-12,178.3436658993,179.9270524235,182.5128769522,174.4060047173
ETH,2019-09-13,181.2873035665,178.3473136473,182.5456220746,176.8659888438
ETH,2019-09-14,180.7958504026,181.2892050893,181.4556500969,177.8017548907
ETH,2019-09-15,187.4962298211,180.7985022871,188.6503457173,179.9538264181
ETH,2019-09-16,188.7210221857,188.6049836937,190.6841346706,186.1629628079
ETH,2019-09-17,197.7618966425,189.4594799938,199.7446388264,188.5793541442
ETH,2019-09-18,211.8446526245,197.7609893095,215.1567034564,196.4356547562
ETH,2019-09-19,211.7686704911,211.8258499684,217.7314461308,207.2231380433
ETH,2019-09-20,220.4508762286,210.2545681841,224.0578836109,202.4375991955
ETH,2019-09-21,214.5472068317,220.4685404761,222.9280726951,212.2803286085
ETH,2019-09-22,215.6904162106,214.5594235995,221.3215019203,213.6352797149
ETH,2019-09-23,210.6311028782,215.6898085865,216.4274729573,206.2164186208
ETH,2019-09-24,201.7345164348,210.6311884247,211.9376628993,198.7209498634
ETH,2019-09-25,168.9992628285,201.7106798027,202.7948100303,153.5773183352
ETH,2019-09-26,169.9438201808,166.4584064831,175.2361698107,162.3989671108
ETH,2019-09-27,166.6986943643,169.9462634949,170.9986839469,152.7922749888
ETH,2019-09-28,172.7389316275,166.7002100497,177.1355994737,161.3662556545
ETH,2019-09-29,172.9975519826,174.0520062107,175.5296414744,168.5297636864
ETH,2019-09-30,171.0073196817,172.9944184423,174.6299600264,164.6522820295
ETH,2019-10-01,177.9168791987,169.4650463295,180.7383956682,165.5019503921
ETH,2019-10-02,176.9313025671,181.1987394304,185.5531425202,173.9327108729
ETH,2019-10-03,178.612262899,176.9355935779,179.2120178119,174.3922358868
ETH,2019-10-04,175.1317829483,178.61447317,181.423930089,169.9848043747
ETH,2019-10-05,176.865898508,175.0228573538,179.0944323154,171.2040496556
ETH,2019-10-06,176.0604430049,176.8619874826,176.9344927585,172.3521433867
ETH,2019-10-07,169.4697137162,176.5445171112,177.0911150888,168.1019019064
ETH,2019-10-08,181.4028512955,169.4751613668,182.530127763,168.6814466764
ETH,2019-10-09,180.7891908418,181.4028352124,184.9466910935,177.5541288448
ETH,2019-10-10,193.151232685,180.7336277455,194.6156620796,179.1623635015
ETH,2019-10-11,192.198199247,193.1521878248,195.7089690343,187.0135686303
ETH,2019-10-12,181.0085295243,192.1985797807,196.9808386167,179.6352638613
ETH,2019-10-13,180.7913299807,181.0120341547,184.5822470687,177.8028309226
ETH,2019-10-14,181.5366658398,179.8019772486,184.5515804,178.7876886027
ETH,2019-10-15,186.123827056,181.5367926783,187.5599757495,180.4860190989
ETH,2019-10-17,174.7540831526,180.5031229769,181.2679391283,171.8682058198
ETH,2019-10-18,176.3901046425,174.754194627,178.9594704902,172.796886507
ETH,2019-10-19,173.7500888732,176.3914357805,177.2022734709,168.7672567184
ETH,2019-10-20,171.1585128402,172.8195486422,174.9466209944,169.9091738099
ETH,2019-10-21,174.6693846894,171.1615027168,176.5968296114,169.4636790322
ETH,2019-10-22,173.7658273815,175.1423785872,177.6712917158,171.8260005516
ETH,2019-10-23,171.3018586023,173.7639581081,175.2730854426,170.986214808
ETH,2019-10-24,159.5431046304,171.2342547086,171.5360965258,153.3632515025
ETH,2019-10-25,161.0687513033,159.5283559156,163.749360381,158.9530045613
ETH,2019-10-26,179.9804506089,160.4766970956,187.5246291896,160.437827857
ETH,2019-10-27,177.413932298,179.9785938354,197.8758978062,174.0566950798
ETH,2019-10-28,184.9332868639,179.990160317,188.9989460435,176.7905095679
ETH,2019-10-29,183.9328015641,184.9408817508,189.8001354711,180.7852768846
ETH,2019-10-30,192.3885043623,181.9923264158,192.8824666102,181.5986432951
ETH,2019-10-31,183.3652157781,192.3960443291,192.5929548786,180.1672521219
ETH,2019-11-01,181.5668036255,183.3729921191,185.2490925958,177.9502359694
ETH,2019-11-02,182.873979546,181.5678529173,184.600407325,177.6418123086
ETH,2019-11-03,182.8533039537,183.0484886922,185.5946073004,181.8530859582
ETH,2019-11-04,182.2438145131,182.8529696817,184.8237730087,179.1527610841
ETH,2019-11-05,185.3686817257,182.245439942,188.4429224346,180.4331643837
ETH,2019-11-06,188.8571937095,185.974435819,192.2945771883,182.6067912716
ETH,2019-11-07,191.0586073424,188.854812011,194.5981294983,187.9802996824
ETH,2019-11-08,187.0749396053,191.0565461602,192.1825384476,184.599135255
ETH,2019-11-09,184.4694666775,186.5114333645,188.0422281657,180.981215341
ETH,2019-11-10,185.1915991945,184.4704385404,185.6216232395,182.4951389114
ETH,2019-11-11,189.7227332618,185.1912962638,191.3733014377,183.2634617811
ETH,2019-11-12,185.3595169522,189.7216904786,190.0451626625,184.6442021819
ETH,2019-11-13,186.3251476172,185.3596158039,187.1059620068,182.1945967687
ETH,2019-11-14,187.2511139834,186.3258675955,189.2966120272,185.1390974421
ETH,2019-11-15,184.8074617077,187.80498324,188.3566912825,182.8920146705
ETH,2019-11-16,180.72497196,184.8075113077,186.2298714871,176.9691395995
ETH,2019-11-17,182.1067434198,180.7248229529,183.2523007922,179.1478943884
ETH,2019-11-18,184.1921419583,182.1067434829,186.156566048,180.0385563802
ETH,2019-11-19,178.4221816961,183.7882612011,183.870160096,174.6960152194
ETH,2019-11-20,175.5936935158,178.4223411575,178.4223411575,172.4956581721
ETH,2019-11-21,174.7796503518,175.6027918108,177.265818403,173.3506038457
ETH,2019-11-22,160.5179612026,174.7790948786,175.5398950382,156.4895342332
ETH,2019-11-23,149.5245321915,160.8533428713,162.5769374195,138.0537491882
ETH,2019-11-24,152.1362450315,149.5208627594,154.3257125714,146.3886015228
ETH,2019-11-25,144.3152880154,152.1385142954,152.9254107626,141.5578155985
ETH,2019-11-26,146.9818121723,140.2001010314,151.5314412367,131.7921090308
ETH,2019-11-27,148.006881793,146.9829430816,149.89633943,143.6151983548
ETH,2019-11-28,152.9572770475,148.0063944464,155.8367428318,140.9610081664
ETH,2019-11-29,150.4119794112,152.955144939,154.6622731365,149.7748853818
ETH,2019-11-30,153.673809539,150.4199245175,157.5477217678,149.3600870725
ETH,2019-12-01,151.6554239752,154.6333548445,155.3667352758,149.9045477323
ETH,2019-12-02,151.5529038097,151.6561540342,152.3992989132,145.9724105299
ETH,2019-12-03,149.4546546609,151.5531083148,152.1395962134,146.6868255518
ETH,2019-12-04,147.8113219421,149.0437652809,150.0229822617,145.83763867
ETH,2019-12-05,145.6033385587,147.8090196157,152.1782860761,143.3107348292
ETH,2019-12-06,147.8270036017,145.6036024282,148.8058075217,143.9984883559
ETH,2019-12-07,148.6504041144,148.0544192698,149.5198340363,145.7474845335
ETH,2019-12-08,147.8712516108,148.6506468314,149.5848527936,147.1227833161
ETH,2019-12-09,151.4106799451,147.8742814905,151.8453650178,146.4545058189
ETH,2019-12-10,147.1595338869,151.410626331,151.5515994775,146.6904023237
ETH,2019-12-11,145.7973190251,147.1614170799,148.1517289078,143.8551975824
ETH,2019-12-12,143.010804403,145.8002271455,146.307541141,142.0593823215
ETH,2019-12-13,144.5101036807,143.252226693,145.8505416904,139.279416513
ETH,2019-12-14,144.4855855195,144.6912933383,145.1629101298,142.7873856528
ETH,2019-12-15,142.0555393225,144.4855282641,145.0437269489,141.1641794375
ETH,2019-12-16,142.6819305388,142.0554433732,143.9031341532,139.8372895545
ETH,2019-12-17,132.3435787088,142.6814883866,142.681873152,129.2556709774
ETH,2019-12-18,120.879816225,132.3441022475,132.7613214618,120.4019446118
ETH,2019-12-19,133.8778331329,120.8795881985,134.2879356912,116.2571391386
ETH,2019-12-20,127.2736814053,132.9349405444,133.9879328326,125.7528612447
ETH,2019-12-21,127.3752754888,127.2735675323,128.5234324515,125.8308868059
ETH,2019-12-22,129.8708364029,127.6401608573,130.2112713936,126.6059016578
ETH,2019-12-23,128.9106173166,129.8707266492,131.4355915069,126.5881079787
ETH,2019-12-24,125.0138243959,128.9104737729,131.6841221571,123.9703664689
ETH,2019-12-25,128.0056504074,125.0129590812,128.3185995413,124.0074715855
ETH,2019-12-26,125.3335415778,128.0088700676,128.1732247557,123.2950005379
ETH,2019-12-27,125.2582992782,125.3333204048,132.0670079983,123.3816559468
ETH,2019-12-28,126.149213913,125.2563447939,126.6638832297,122.1867207586
ETH,2019-12-29,128.0111453111,126.1493765257,129.3741249045,125.7484878254
ETH,2019-12-30,134.7680350143,128.0113804058,137.8062787115,127.2727016731
ETH,2019-12-31,132.0730737137,134.2790970367,136.0115698803,130.0177845802
ETH,2020-01-01,128.7226035036,132.1265273155,133.4051840668,127.846576584
ETH,2020-01-02,129.8873633242,128.7216212353,132.6791742547,128.270383906
ETH,2020-01-03,127.0556008747,129.8863430809,130.6324406641,126.1302468569
ETH,2020-01-04,132.9708331543,127.0556008747,134.6841515877,125.4814193736
ETH,2020-01-05,133.8206207495,132.9703016886,135.5848146327,132.3263510971
ETH,2020-01-06,134.8342522004,133.8167911464,138.1953580425,133.5430080138
ETH,2020-01-07,143.1316009393,135.2739361935,143.5312380421,134.741075174
ETH,2020-01-08,142.133414011,143.1324736319,145.3194577462,138.9961843024
ETH,2020-01-09,140.3393936759,142.1874732484,147.8878585617,137.0702811602
ETH,2020-01-10,137.4949989813,140.5102540496,141.3850517365,135.4280273673
ETH,2020-01-11,142.8347833627,137.4955700047,145.1033112786,135.2747290424
ETH,2020-01-12,143.0715916414,144.8464765369,147.8492529133,142.0189513739
ETH,2020-01-13,145.2809936515,143.0715231225,145.7229897092,141.7851073239
ETH,2020-01-14,143.9369170091,145.3010869285,146.9424926044,142.1317501882
ETH,2020-01-15,163.8546314577,143.5929432203,170.7564251758,143.5882635704
ETH,2020-01-16,166.5383398703,163.8406103648,171.6563009014,158.8671804523
ETH,2020-01-17,163.9372081347,166.3027404324,167.217221392,158.1935887276
ETH,2020-01-18,171.5889767813,163.937012032,174.077917304,161.993060011
ETH,2020-01-19,176.7004339689,171.5958831713,179.1611162983,164.9857579834
ETH,2020-01-20,166.0633101409,176.6578850177,177.8974233599,161.6662374274
ETH,2020-01-21,167.5725368448,166.0631809193,169.2062998749,161.0670262194
